customer_id,customer_name,email,city,signup_date
CUST-00145,Yu Yang,yu.yang145@example-mail.com,Tainan,2022-04-13
CUST-00085,Alex Chen,alex.chen85@example-mail.com,Kaohsiung,2024-03-21
CUST-00083,Chen Liu,chen.liu83@example-mail.com,Taoyuan,2025-04-10
CUST-00200,Jia Wang,jia.wang200@example-mail.com,Taichung,2026-01-14
CUST-00094,Hui Chang,hui.chang94@example-mail.com,Kaohsiung,2022-08-25
CUST-00039,Yu Kao,yu.kao39@example-mail.com,Taipei,2026-01-18
CUST-00025,Ting Chen,ting.chen25@example-mail.com,Taipei,2023-10-09
CUST-00097,Alex Chen,alex.chen97@example-mail.com,Taoyuan,2025-07-22
CUST-00112,Hao Huang,hao.huang112@example-mail.com,Taichung,2026-06-01
CUST-00030,Jamie Huang,jamie.huang30@example-mail.com,Taoyuan,2025-04-12
CUST-00020,Jia Huang,jia.huang20@example-mail.com,Taoyuan,2025-10-31
CUST-00061,Jia Wang,jia.wang61@example-mail.com,Taipei,2025-09-11
CUST-00156,Ming Chen,ming.chen156@example-mail.com,Tainan,2025-11-22
CUST-00169,Ming Kao,ming.kao169@example-mail.com,Taichung,2022-04-13
CUST-00091,Yu Kao,yu.kao91@example-mail.com,Hsinchu,2025-12-11
CUST-00006,Wei Yang,wei.yang6@example-mail.com,Taichung,2026-01-06
CUST-00154,Rui Chen,rui.chen154@example-mail.com,Kaohsiung,2023-11-19
CUST-00119,Alex Lin,alex.lin119@example-mail.com,Taipei,2023-06-19
CUST-00194,Xin Kao,xin.kao194@example-mail.com,Taichung,2026-03-17
CUST-00144,Wei Wang,wei.wang144@example-mail.com,Tainan,2023-03-25
CUST-00191,Riley Huang,riley.huang191@example-mail.com,Hsinchu,2025-01-07
CUST-00177,Hao Chang,hao.chang177@example-mail.com,Tainan,2025-10-03
CUST-00074,Taylor Huang,taylor.huang74@example-mail.com,Tainan,2025-11-27
CUST-00174,Jamie Lin,jamie.lin174@example-mail.com,Kaohsiung,2023-04-05
CUST-00099,Ting Wang,ting.wang99@example-mail.com,Taoyuan,2024-05-17
CUST-00032,Hao Chang,hao.chang32@example-mail.com,Hsinchu,2024-10-07
CUST-00013,Jamie Wang,jamie.wang13@example-mail.com,Tainan,2022-06-11
CUST-00036,Riley Huang,riley.huang36@example-mail.com,Hsinchu,2022-01-24
CUST-00121,Hui Hsu,hui.hsu121@example-mail.com,Tainan,2023-12-09
CUST-00043,Yu Yang,yu.yang43@example-mail.com,Hsinchu,2022-01-02
CUST-00076,Rui Chen,rui.chen76@example-mail.com,Taipei,2025-04-01
CUST-00198,Sam Huang,sam.huang198@example-mail.com,Kaohsiung,2023-07-27
CUST-00140,Wei Lin,wei.lin140@example-mail.com,Taichung,2024-08-31
CUST-00052,Sam Kao,sam.kao52@example-mail.com,Hsinchu,2024-07-13
CUST-00123,Hui Liu,hui.liu123@example-mail.com,Hsinchu,2023-01-25
CUST-00166,Jordan Chang,jordan.chang166@example-mail.com,Tainan,2022-09-19
CUST-00042,Jia Chang,jia.chang42@example-mail.com,Kaohsiung,2026-04-11
CUST-00120,Yu Hsu,yu.hsu120@example-mail.com,Kaohsiung,2022-03-20
CUST-00115,Rui Chen,rui.chen115@example-mail.com,Taichung,2022-02-18
CUST-00027,Alex Chen,alex.chen27@example-mail.com,Taoyuan,2024-10-19
CUST-00137,Yu Wang,yu.wang137@example-mail.com,Kaohsiung,2024-11-21
CUST-00102,Taylor Yang,taylor.yang102@example-mail.com,Taoyuan,2024-05-25
CUST-00113,Hui Liu,hui.liu113@example-mail.com,Taipei,2024-08-21
CUST-00003,Hui Yang,hui.yang3@example-mail.com,Taipei,2025-04-24
CUST-00078,Ting Lin,ting.lin78@example-mail.com,Hsinchu,2024-09-03
CUST-00047,Morgan Wang,morgan.wang47@example-mail.com,Hsinchu,2026-04-18
CUST-00118,Riley Liu,riley.liu118@example-mail.com,Taoyuan,2025-01-03
CUST-00146,Jamie Chen,jamie.chen146@example-mail.com,Taipei,2024-07-23
CUST-00086,Ming Huang,ming.huang86@example-mail.com,Tainan,2023-10-10
CUST-00138,Alex Wang,alex.wang138@example-mail.com,Taichung,2025-10-09
CUST-00037,Hui Yang,hui.yang37@example-mail.com,Kaohsiung,2026-04-24
CUST-00110,Casey Lin,casey.lin110@example-mail.com,Taichung,2026-02-17
CUST-00062,Casey Wu,casey.wu62@example-mail.com,Tainan,2024-04-21
CUST-00023,Jordan Huang,jordan.huang23@example-mail.com,Taoyuan,2025-11-10
CUST-00165,Wei Liu,wei.liu165@example-mail.com,Kaohsiung,2025-10-01
CUST-00196,Jordan Wu,jordan.wu196@example-mail.com,Taipei,2024-10-09
CUST-00034,Yu Liu,yu.liu34@example-mail.com,Hsinchu,2022-05-11
CUST-00012,Xin Lin,xin.lin12@example-mail.com,Taoyuan,2024-07-29
CUST-00199,Xin Yang,xin.yang199@example-mail.com,Taipei,2024-11-24
CUST-00163,Jamie Hsu,jamie.hsu163@example-mail.com,Taichung,2024-09-26
CUST-00007,Jamie Liu,jamie.liu7@example-mail.com,Taichung,2024-07-08
CUST-00028,Jordan Kao,jordan.kao28@example-mail.com,Taichung,2023-06-27
CUST-00195,Taylor Hsu,taylor.hsu195@example-mail.com,Hsinchu,2025-09-30
CUST-00005,Jia Chen,jia.chen5@example-mail.com,Hsinchu,2025-05-17
CUST-00033,Chen Lin,chen.lin33@example-mail.com,Taipei,2022-11-10
CUST-00105,Jamie Chang,jamie.chang105@example-mail.com,Tainan,2022-09-19
CUST-00149,Taylor Hsu,taylor.hsu149@example-mail.com,Taoyuan,2024-10-30
CUST-00167,Jamie Lin,jamie.lin167@example-mail.com,Tainan,2025-04-27
CUST-00148,Jamie Hsu,jamie.hsu148@example-mail.com,Kaohsiung,2026-03-27
CUST-00011,Jordan Wang,jordan.wang11@example-mail.com,Kaohsiung,2023-12-06
CUST-00063,Taylor Lin,taylor.lin63@example-mail.com,Taoyuan,2025-08-31
CUST-00114,Hao Chen,hao.chen114@example-mail.com,Tainan,2023-12-18
CUST-00187,Sam Wang,sam.wang187@example-mail.com,Hsinchu,2025-08-19
CUST-00173,Chen Kao,chen.kao173@example-mail.com,Taipei,2026-03-15
CUST-00001,Hui Lin,hui.lin1@example-mail.com,Taoyuan,2023-07-18
CUST-00184,Hao Wang,hao.wang184@example-mail.com,Taoyuan,2026-05-02
CUST-00157,Ming Chen,ming.chen157@example-mail.com,Taipei,2024-04-29
CUST-00071,Casey Kao,casey.kao71@example-mail.com,Tainan,2023-03-14
CUST-00127,Alex Hsu,alex.hsu127@example-mail.com,Kaohsiung,2025-09-20
CUST-00065,Alex Wang,alex.wang65@example-mail.com,Taichung,2023-01-28
CUST-00045,Sam Huang,sam.huang45@example-mail.com,Taichung,2022-04-29
CUST-00143,Hao Chang,hao.chang143@example-mail.com,Taoyuan,2025-11-09
CUST-00029,Ming Chen,ming.chen29@example-mail.com,Taoyuan,2025-02-23
CUST-00041,Hui Huang,hui.huang41@example-mail.com,Taoyuan,2024-11-05
CUST-00109,Ming Chen,ming.chen109@example-mail.com,Taichung,2022-12-29
CUST-00126,Jia Wu,jia.wu126@example-mail.com,Tainan,2022-05-24
CUST-00159,Casey Lin,,Taichung,2024-05-10
CUST-00124,Xin Lin,xin.lin124@example-mail.com,Taoyuan,2024-06-12
CUST-00160,Jordan Hsu,jordan.hsu160@example-mail.com,Taoyuan,2022-02-10
CUST-00026,Jordan Huang,jordan.huang26@example-mail.com,Taipei,2023-03-09
CUST-00024,Jamie Chen,jamie.chen24@example-mail.com,Taoyuan,2023-10-27
CUST-00155,Alex Yang,alex.yang155@example-mail.com,Taipei,2022-10-11
CUST-00151,Morgan Kao,morgan.kao151@example-mail.com,Kaohsiung,2026-03-20
CUST-00082,Hao Hsu,hao.hsu82@example-mail.com,Hsinchu,2022-03-23
CUST-00040,Xin Yang,xin.yang40@example-mail.com,Taichung,2024-11-05
CUST-00172,Jordan Huang,jordan.huang172@example-mail.com,Tainan,2023-06-01
CUST-00048,Ming Chang,ming.chang48@example-mail.com,Taoyuan,2024-08-31
CUST-00095,Hui Yang,hui.yang95@example-mail.com,Taichung,2023-07-12
CUST-00183,Chen Hsu,chen.hsu183@example-mail.com,Taoyuan,2025-07-08
CUST-00044,Alex Kao,alex.kao44@example-mail.com,Taipei,2022-08-18
CUST-00142,Jia Liu,jia.liu142@example-mail.com,Tainan,2024-03-29
CUST-00004,Casey Lin,casey.lin4@example-mail.com,Taipei,2022-07-11
CUST-00106,Ting Huang,ting.huang106@example-mail.com,Kaohsiung,2022-03-23
CUST-00054,Alex Lin,alex.lin54@example-mail.com,Hsinchu,2025-02-08
CUST-00134,Rui Chen,rui.chen134@example-mail.com,Tainan,2026-05-29
CUST-00185,Rui Hsu,rui.hsu185@example-mail.com,Taipei,2025-03-05
CUST-00179,Xin Wu,xin.wu179@example-mail.com,Taichung,2025-05-25
CUST-00190,Taylor Chang,taylor.chang190@example-mail.com,Tainan,2022-12-27
CUST-00050,Casey Chen,casey.chen50@example-mail.com,Hsinchu,2026-03-27
CUST-00081,Chen Chen,chen.chen81@example-mail.com,,2022-09-03
CUST-00035,Jordan Liu,jordan.liu35@example-mail.com,Hsinchu,2024-08-16
CUST-00008,Xin Lin,xin.lin8@example-mail.com,Taichung,2025-11-30
CUST-00111,Alex Liu,alex.liu111@example-mail.com,Taoyuan,2026-02-14
CUST-00092,Rui Hsu,rui.hsu92@example-mail.com,Taoyuan,2024-12-19
CUST-00084,Riley Wu,riley.wu84@example-mail.com,Kaohsiung,2023-02-23
CUST-00181,Wei Huang,wei.huang181@example-mail.com,Hsinchu,2025-10-19
CUST-00186,Ting Wu,ting.wu186@example-mail.com,Hsinchu,2024-05-27
CUST-00090,Chen Chen,chen.chen90@example-mail.com,Kaohsiung,2023-08-07
CUST-00009,Casey Wu,casey.wu9@example-mail.com,Kaohsiung,2022-11-15
CUST-00014,Jamie Huang,jamie.huang14@example-mail.com,Taoyuan,2025-06-20
CUST-00060,Morgan Chen,morgan.chen60@example-mail.com,Tainan,2024-04-13
CUST-00176,Jia Lin,jia.lin176@example-mail.com,Hsinchu,2022-11-09
CUST-00132,Yu Hsu,yu.hsu132@example-mail.com,Hsinchu,2023-09-09
CUST-00018,Jordan Huang,jordan.huang18@example-mail.com,Tainan,2025-07-25
CUST-00073,Wei Liu,wei.liu73@example-mail.com,Kaohsiung,2026-05-25
CUST-00158,Casey Wu,casey.wu158@example-mail.com,Hsinchu,2024-08-12
CUST-00135,Alex Kao,alex.kao135@example-mail.com,Tainan,2024-06-24
CUST-00171,Taylor Wu,,Kaohsiung,2026-04-08
CUST-00188,Alex Lin,alex.lin188@example-mail.com,Tainan,2024-09-30
CUST-00064,Hui Lin,hui.lin64@example-mail.com,Tainan,2026-01-31
CUST-00055,Hao Hsu,hao.hsu55@example-mail.com,Taichung,2022-01-15
CUST-00108,Hui Wu,hui.wu108@example-mail.com,Hsinchu,2024-04-12
CUST-00051,Jia Huang,jia.huang51@example-mail.com,Tainan,2025-10-07
CUST-00136,Jia Yang,jia.yang136@example-mail.com,Tainan,2026-02-16
CUST-00170,Xin Liu,xin.liu170@example-mail.com,Kaohsiung,2023-03-10
CUST-00059,Jia Yang,jia.yang59@example-mail.com,Taichung,2026-01-21
CUST-00049,Jamie Chang,jamie.chang49@example-mail.com,Kaohsiung,2024-12-16
CUST-00089,Riley Huang,riley.huang89@example-mail.com,Taichung,2023-12-16
CUST-00022,Jamie Chen,jamie.chen22@example-mail.com,Taichung,2024-08-04
CUST-00058,Hao Huang,hao.huang58@example-mail.com,Taoyuan,2024-09-21
CUST-00161,Jordan Kao,jordan.kao161@example-mail.com,Taipei,2023-12-22
CUST-00197,Alex Chang,alex.chang197@example-mail.com,Tainan,2023-03-11
CUST-00130,Rui Yang,rui.yang130@example-mail.com,Taichung,2023-01-28
CUST-00038,Alex Wang,alex.wang38@example-mail.com,,2024-06-09
CUST-00158,Casey Wu,casey.wu158@example-mail.com,Hsinchu,2024-08-12
CUST-00193,Xin Wu,xin.wu193@example-mail.com,Taichung,2022-06-27
CUST-00002,Hao Chen,hao.chen2@example-mail.com,Taichung,2026-02-17
CUST-00053,Hui Chen,hui.chen53@example-mail.com,Taichung,2022-05-12
CUST-00150,Casey Yang,casey.yang150@example-mail.com,Tainan,2022-11-22
CUST-00131,Casey Liu,casey.liu131@example-mail.com,Taoyuan,2026-03-13
CUST-00152,Hao Huang,hao.huang152@example-mail.com,Hsinchu,2024-09-19
CUST-00104,Ming Yang,ming.yang104@example-mail.com,Taipei,2024-01-27
CUST-00100,Xin Lin,xin.lin100@example-mail.com,Taipei,2023-11-15
CUST-00117,Chen Huang,chen.huang117@example-mail.com,Kaohsiung,2025-08-06
CUST-00088,Hui Wang,hui.wang88@example-mail.com,Hsinchu,2023-03-13
CUST-00075,Jamie Kao,jamie.kao75@example-mail.com,Taichung,2023-01-24
CUST-00122,Alex Liu,alex.liu122@example-mail.com,Hsinchu,2024-11-13
CUST-00029,Ming Chen,ming.chen29@example-mail.com,Taoyuan,2025-02-23
CUST-00021,Chen Hsu,chen.hsu21@example-mail.com,Taoyuan,2022-12-17
CUST-00189,Hui Liu,hui.liu189@example-mail.com,,2025-07-25
CUST-00072,Jordan Lin,jordan.lin72@example-mail.com,Taichung,2024-02-16
CUST-00107,Sam Chen,sam.chen107@example-mail.com,Taoyuan,2023-05-27
CUST-00015,Sam Hsu,sam.hsu15@example-mail.com,Taichung,2025-12-13
CUST-00093,Wei Yang,wei.yang93@example-mail.com,Kaohsiung,2025-09-20
CUST-00180,Hui Chang,hui.chang180@example-mail.com,Kaohsiung,2022-08-10
CUST-00103,Jamie Lin,jamie.lin103@example-mail.com,Taipei,2022-06-04
